Health State,SEM Code,Colony ID,Polyp ID,Inner Diameter,Septa Number,Septa width 1,Septa width 2,Septa width 3,Septa width 4,Septa width 5,Septa width 6,Average
GA,17.b,17,3,1089.359,6,11.549,22.556,10.028,29.903,12.985,18.131,17.52533333
GA,17.b,17,4,931.927,6,12.691,21.836,14.911,13.337,12.867,9.808,14.24166667
GA,17.b,17,5,910.388,6,16.283,15.949,14.061,14.745,12.625,9.646,13.88483333
GA,17.b,17,6,771.191,6,16.01,16.908,10.911,11.152,9.154,13.163,12.883
GA,17.b,17,7,916.185,4,21.136,30.933,9.904,21.976,,,20.98725
GA,17.b,17,8,840.919,6,11.127,10.649,12.21,18.991,14.991,17.55,14.253
GA,18.b,18,1,856.243,6,13.967,12.576,12.328,17.217,23.947,29.527,18.26033333
GA,18.b,18,2,1130.613,6,16.709,12.899,14.765,10.678,5.733,9.338,11.687
GA,18.b,18,3,1040.305,6,16.482,18.651,13.923,23.807,16.158,,17.8042
GA,18.b,18,4,894.472,6,15.051,16.203,10.077,10.469,12.884,10.643,12.5545
GA,18.b,18,5,1016.39,6,17.284,8.282,14.076,11.647,7.905,15.271,12.41083333
